Obs_ID,Study_ID,Cohort_ID,Shared_control_ID,Year,Country,Data_source,Data_location,Bird_species,Bird_common_name,Prey_species,Prey_common_name,Response,Measure,Direction,Detail_result,Note_result,Treatment_stimulus,Shape_pattern,Control_stimulus,Note_stimulus,Number_pattern,Diameter_pattern,Log_diameter,Area_pattern,Log_area,area_pattern_T,Log_area_pattern_T,Area_background,Log_background,Type_prey,Shape_prey,Diet_bird,Bird_sex,Bird_age,Tn,Cn,T_mean,C_mean,T_sd,C_sd,T_proportion,C_proportion,Study_design,Dataset,Mean_median,T_mean_median,C_mean_median,Type_of_variance_statistic,T_se,C_se,T_variance_q1,T_variance_q3,C_variance_q1,C_variance_q3,lnRR,lnRR_var,Note
47,Brilot_2009,Brilot_2009_1,Brilot_2009_a,2009,UK,fig. 5b,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent near eyespot,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.049892704,0.177038627,0.075869826,0.159326635,0.049892704,0.177038627,dependent,predator,mean,0.049892704,0.177038627,SEM,0.026824034,0.056330472,NA,NA,NA,NA,0.168821833,0.003338892,
48,Brilot_2009,Brilot_2009_2,Brilot_2009_b,2009,UK,fig. 5b,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent near eyespot,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.068133047,0.082618026,0.066765447,0.072835033,0.068133047,0.082618026,dependent,predator,mean,0.068133047,0.082618026,SEM,0.02360515,0.025751073,NA,NA,NA,NA,0.021241868,0.00131101,
49,Brilot_2009,Brilot_2009_3,Brilot_2009_c,2009,UK,fig. 5b,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent near eyespot,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.011802575,0.104613734,0.030347931,0.081939412,0.011802575,0.104613734,dependent,predator,mean,0.011802575,0.104613734,SEM,0.010729614,0.028969957,NA,NA,NA,NA,0.163499058,0.001312591,
50,Brilot_2009,Brilot_2009_4,Brilot_2009_d,2009,UK,fig. 5b,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent near eyespot,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.017167382,0.051502146,0.047039292,0.075869826,0.017167382,0.051502146,dependent,predator,mean,0.017167382,0.051502146,SEM,0.016630901,0.026824034,NA,NA,NA,NA,0.070164906,0.002011827,
51,Brilot_2009,Brilot_2009_1,Brilot_2009_a,2009,UK,fig. 5b,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent near eyespot,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.121244635,0.177038627,0.127461308,0.159326635,0.121244635,0.177038627,dependent,predator,mean,0.121244635,0.177038627,SEM,0.045064378,0.056330472,NA,NA,NA,NA,0.066896976,0.003754183,
52,Brilot_2009,Brilot_2009_2,Brilot_2009_b,2009,UK,fig. 5b,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent near eyespot,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.06223176,0.082618026,0.053108878,0.072835033,0.06223176,0.082618026,dependent,predator,mean,0.06223176,0.082618026,SEM,0.018776824,0.025751073,NA,NA,NA,NA,0.030350114,0.001127692,
53,Brilot_2009,Brilot_2009_3,Brilot_2009_c,2009,UK,fig. 5b,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent near eyespot,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.100858369,0.104613734,0.03490012,0.081939412,0.100858369,0.104613734,dependent,predator,mean,0.100858369,0.104613734,SEM,0.012339056,0.028969957,NA,NA,NA,NA,0.004969523,0.001097036,
54,Brilot_2009,Brilot_2009_4,Brilot_2009_d,2009,UK,fig. 5b,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent near eyespot,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.048283262,0.051502146,0.068282844,0.075869826,0.048283262,0.051502146,dependent,predator,mean,0.048283262,0.051502146,SEM,0.024141631,0.026824034,NA,NA,NA,NA,0.005494447,0.001899494,
55,Brilot_2009,Brilot_2009_1,Brilot_2009_a,2009,UK,fig. 5c,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent near eyespot,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.031147541,0.05942623,0.047526849,0.064914721,0.031147541,0.05942623,dependent,predator,mean,0.031147541,0.05942623,SEM,0.016803279,0.02295082,NA,NA,NA,NA,0.050667516,0.001275699,
56,Brilot_2009,Brilot_2009_2,Brilot_2009_b,2009,UK,fig. 5c,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent on foodbowl,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.033196721,0.104508197,0.035934935,0.129829442,0.033196721,0.104508197,dependent,predator,mean,0.033196721,0.104508197,SEM,0.012704918,0.045901639,NA,NA,NA,NA,0.11115092,0.002759974,
57,Brilot_2009,Brilot_2009_3,Brilot_2009_c,2009,UK,fig. 5c,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent on foodbowl,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,4.10E-04,0.044672131,0.01,0.052163615,0.01,0.044672131,dependent,predator,mean,4.10E-04,0.044672131,SEM,0,0.018442623,NA,NA,NA,NA,0.079800558,8.29E-04,
58,Brilot_2009,Brilot_2009_4,Brilot_2009_d,2009,UK,fig. 5c,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent on foodbowl,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.003688525,0.042622951,0.011591914,0.054481998,0.01,0.042622951,dependent,predator,mean,0.003688525,0.042622951,SEM,0.004098361,0.019262295,NA,NA,NA,NA,0.076113811,9.30E-04,
59,Brilot_2009,Brilot_2009_1,Brilot_2009_a,2009,UK,fig. 5c,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent on foodbowl,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.060655738,0.05942623,0.044049275,0.064914721,0.060655738,0.05942623,dependent,predator,mean,0.060655738,0.05942623,SEM,0.01557377,0.02295082,NA,NA,NA,NA,-0.001955636,0.001047539,
60,Brilot_2009,Brilot_2009_2,Brilot_2009_b,2009,UK,fig. 5c,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent on foodbowl,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.046311475,0.104508197,0.022024637,0.129829442,0.046311475,0.104508197,dependent,predator,mean,0.046311475,0.104508197,SEM,0.007786885,0.045901639,NA,NA,NA,NA,0.086582918,0.003011469,
61,Brilot_2009,Brilot_2009_3,Brilot_2009_c,2009,UK,fig. 5c,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent on foodbowl,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.044262295,0.044672131,0.044049275,0.052163615,0.044262295,0.044672131,dependent,predator,mean,0.044262295,0.044672131,SEM,0.01557377,0.018442623,NA,NA,NA,NA,7.32E-04,9.41E-04,
62,Brilot_2009,Brilot_2009_4,Brilot_2009_d,2009,UK,fig. 5c,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Decrease,proportion of time spent on foodbowl,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.025,0.042622951,0.027820595,0.054481998,0.025,0.042622951,dependent,predator,mean,0.025,0.042622951,SEM,0.009836066,0.019262295,NA,NA,NA,NA,0.035442224,9.41E-04,
63,Vallin_2011,Vallin_2011_1,Vallin_2011_a,2011,Finland,fig. 2,p.1663,Parus_caeruleus,blue tit,none,none,continuous,number,Neutral,mean frequency of attacks ,,eyespot,eyespot,camouflage,mix,1,3,1.098612289,7.068583471,1.955660102,7.068583471,1.955660102,225,5.416100402,artificial,abstract_butterfly,omnivore,NA,NA,15,15,6.96585,5.08293,3.36287271,3.400673027,NA,NA,dependent,predator,mean,6.96585,5.08293,SE,0.86829,0.87805,NA,NA,NA,NA,0.315131772,0.023845726,
64,Vallin_2011,Vallin_2011_1,Vallin_2011_a,2011,Finland,fig. 3,p.1663,Parus_caeruleus,blue tit,none,none,continuous,latency,Increase,latency to attack ,,eyespot,eyespot,camouflage,right position + exposing,1,3,1.098612289,7.068583471,1.955660102,7.068583471,1.955660102,225,5.416100402,artificial,abstract_butterfly,omnivore,NA,NA,7.5,7.5,2.6158,2.28883,0.716366333,0.716366333,NA,NA,dependent,predator,mean,2.6158,2.28883,SE,0.26158,0.26158,NA,NA,NA,NA,0.133529208,0.011632621," authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
65,Vallin_2011,Vallin_2011_1,Vallin_2011_a,2011,Finland,fig. 3,p.1663,Parus_caeruleus,blue tit,none,none,continuous,latency,Increase,latency to attack ,,eyespot,eyespot,camouflage,left position + exposing,1,3,1.098612289,7.068583471,1.955660102,7.068583471,1.955660102,225,5.416100402,artificial,abstract_butterfly,omnivore,NA,NA,7.5,7.5,1.96185,2.28883,0.179105276,0.716366333,NA,NA,dependent,predator,mean,1.96185,2.28883,SE,0.0654,0.26158,NA,NA,NA,NA,-0.154152864,0.010362642," authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
66,Vallin_2011,Vallin_2011_1,Vallin_2011_a,2011,Finland,fig. 3,p.1663,Parus_caeruleus,blue tit,none,none,continuous,latency,Increase,latency to attack ,,eyespot,eyespot,camouflage,right position + concealing,1,3,1.098612289,7.068583471,1.955660102,7.068583471,1.955660102,225,5.416100402,artificial,abstract_butterfly,omnivore,NA,NA,7.5,7.5,8.55041,8.22343,3.581831665,2.507282165,NA,NA,dependent,predator,mean,8.55041,8.22343,SE,1.3079,0.91553,NA,NA,NA,NA,0.038991838,0.018762892," authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
67,Vallin_2011,Vallin_2011_1,Vallin_2011_a,2011,Finland,fig. 3,p.1663,Parus_caeruleus,blue tit,none,none,continuous,latency,Increase,latency to attack ,,eyespot,eyespot,camouflage,left position + concealing,1,3,1.098612289,7.068583471,1.955660102,7.068583471,1.955660102,225,5.416100402,artificial,abstract_butterfly,omnivore,NA,NA,7.5,7.5,8.81199,8.22343,3.447530094,2.507282165,NA,NA,dependent,predator,mean,8.81199,8.22343,SE,1.25886,0.91553,NA,NA,NA,NA,0.069125897,0.016898482," authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
68,Vallin_2011,Vallin_2011_1,Vallin_2011_a,2011,Finland,fig. 2,p.1663,Parus_caeruleus,blue tit,none,none,continuous,number,Increase,mean frequency of attacks ,,eyespot,eyespot,camouflage,mix,1,6,1.791759469,28.27433388,3.341954463,28.27433388,3.341954463,225,5.416100402,artificial,abstract_butterfly,omnivore,NA,NA,15,15,6.45854,5.54146,4.231931443,4.156369538,NA,NA,dependent,predator,mean,6.45854,5.54146,SE,1.09268,1.07317,NA,NA,NA,NA,0.153145282,0.033363639,
69,Vallin_2011,Vallin_2011_1,Vallin_2011_a,2011,Finland,fig. 3,p.1663,Parus_caeruleus,blue tit,none,none,continuous,latency,Increase,latency to attack ,,eyespot,eyespot,camouflage,right position + exposing,1,6,1.791759469,28.27433388,3.341954463,28.27433388,3.341954463,225,5.416100402,artificial,abstract_butterfly,omnivore,NA,NA,7.5,7.5,2.48501,2.14169,0.537288443,0.492512124,NA,NA,dependent,predator,mean,2.48501,2.14169,SE,0.19619,0.17984,NA,NA,NA,NA,0.148681447,0.006654681," authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
70,Vallin_2011,Vallin_2011_1,Vallin_2011_a,2011,Finland,fig. 3,p.1663,Parus_caeruleus,blue tit,none,none,continuous,latency,Increase,latency to attack ,,eyespot,eyespot,camouflage,left position + exposing,1,6,1.791759469,28.27433388,3.341954463,28.27433388,3.341954463,225,5.416100402,artificial,abstract_butterfly,omnivore,NA,NA,7.5,7.5,2.35422,2.14169,0.716366333,0.492512124,NA,NA,dependent,predator,mean,2.35422,2.14169,SE,0.26158,0.17984,NA,NA,NA,NA,0.094614225,0.010066701," authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
71,Vallin_2011,Vallin_2011_1,Vallin_2011_a,2011,Finland,fig. 3,p.1663,Parus_caeruleus,blue tit,none,none,continuous,latency,Increase,latency to attack ,,eyespot,eyespot,camouflage,right position + concealing,1,6,1.791759469,28.27433388,3.341954463,28.27433388,3.341954463,225,5.416100402,artificial,abstract_butterfly,omnivore,NA,NA,7.5,7.5,9.10627,7.58583,3.492279027,2.596834804,NA,NA,dependent,predator,mean,9.10627,7.58583,SE,1.2752,0.94823,NA,NA,NA,NA,0.182681154,0.017730504," authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
72,Vallin_2011,Vallin_2011_1,Vallin_2011_a,2011,Finland,fig. 3,p.1663,Parus_caeruleus,blue tit,none,none,continuous,latency,Increase,latency to attack ,,eyespot,eyespot,camouflage,left position + concealing,1,6,1.791759469,28.27433388,3.341954463,28.27433388,3.341954463,225,5.416100402,artificial,abstract_butterfly,omnivore,NA,NA,7.5,7.5,7.55313,7.58583,2.641611123,2.596834804,NA,NA,dependent,predator,mean,7.55313,7.58583,SE,0.96458,0.94823,NA,NA,NA,NA,-0.004319986,0.015970592," authors only reported total sample size (left eyespots and right eyespots), so the sample size was equally divided between the two stimuli"
73,Olofsson&Lovlie_2013,Olofsson&Lovlie_2013_1,Olofsson&Lovlie_2013_a,2013,Sweden,text,p.308,Gallus_gallus,domestic fowl,Inachis_io,peacock butterfly,continuous,latency,Increase,latency to resumed foraging ,,eyespot,eyespot,no pattern,,2,9.91,2.293544348,77.13246137,4.345524221,154.2649227,5.038671402,1370.3596,7.222828466,real,butterfly,omnivore,both,adult,23,17,153.5,64.33333,133.1441,54.16145,NA,NA,independent,predator,median,137,58,IQR,NA,NA,77.5,246,29,36,0.869622719,0.074404067,"t-test: N = 40, t =  3.42, degrees of freedom = 27.8, p = 0.0019"
74,Olofsson&Lovlie_2013,Olofsson&Lovlie_2013_1,Olofsson&Lovlie_2013_a,2013,Sweden,text,p.308,Gallus_gallus,domestic fowl,Inachis_io,peacock butterfly,proportion1,number,Increase,number of birds that escaped,,eyespot,eyespot,no pattern,,2,9.91,2.293544348,77.13246137,4.345524221,154.2649227,5.038671402,1370.3596,7.222828466,real,butterfly,omnivore,both,adult,23,17,NA,NA,NA,NA,0.826086957,0.647058824,independent,predator,NA,19,11,NA,NA,NA,NA,NA,NA,NA,0.199142028,0.01259418,"FisherUs Exact test: N = 40, p = 0.27"
75,Olofsson&Lovlie_2013,Olofsson&Lovlie_2013_1,Olofsson&Lovlie_2013_a,2013,Sweden,text,p.308,Gallus_gallus,domestic fowl,Inachis_io,peacock butterfly,proportion1,number,Increase,number of birds that made alarm calls,,eyespot,eyespot,no pattern,,2,9.91,2.293544348,77.13246137,4.345524221,154.2649227,5.038671402,1370.3596,7.222828466,real,butterfly,omnivore,both,adult,23,17,NA,NA,NA,NA,0.565217391,0.058823529,independent,predator,NA,13,1,NA,NA,NA,NA,NA,NA,NA,1.245008216,0.130027336,"FisherUs Exact test, N = 40; p = 0.00094"
76,Skelhorn_2014,Skelhorn_2014_1,Skelhorn_2014_a,2014,UK,fig. 1,p.1419,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,time between first inspections and attack ,,eyespot,eyespot,no pattern,"pastry caterpillars based loosely on the appearance of  the late instars of  Papilio canadensis and Papilio glaucus caterpillar; anterior eyespot. eyespots was produced by painting 2 yellow circles (E0.45cm diameter) dorsolaterally on the prey 0.4cm apart. A  black circle (E0.3cm diameter) was thenante painted inside each of  these; and finally, a small white spot of  pain (E0.1cm diameter) was added to the centre of  the black circles",2,4.5,1.504077397,15.90431281,2.766590318,31.80862562,3.459737499,1033.583943,6.940787598,artificial,abstract_caterpillar,omnivore,NA,chick,9,9,167.79661,40.21572,74.88444,16.641,NA,NA,independent,predator,mean,167.79661,40.21572,SEM,24.96148,5.547,NA,NA,NA,NA,1.428494627,0.041154636,1 1 SEM
77,Skelhorn_2014,Skelhorn_2014_2,Skelhorn_2014_a,2014,UK,fig. 1,p.1419,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,time between first inspections and attack ,,eyespot,eyespot,no pattern,"pastry caterpillars based loosely on the appearance of  the late instars of  Papilio canadensis and Papilio glaucus caterpillar; centrally-placed eyespot. eyespots was produced by painting 2 yellow circles (ﾅ0.45cm diameter) dorsolaterally on the prey 0.4cm apart. A  black circle (ﾅ0.3cm diameter) was then painted inside each of  these; and finally, a small white spot of  pain (E0.1cm diameter) was added to the centre of  the black circles",2,4.5,1.504077397,15.90431281,2.766590318,31.80862562,3.459737499,1033.583943,6.940787598,artificial,abstract_caterpillar,omnivore,NA,chick,9,9,34.66872,40.21572,17.68104,16.641,NA,NA,independent,predator,mean,34.66872,40.21572,SEM,5.89368,5.547,NA,NA,NA,NA,-0.148420124,0.047924975,1 1 SEM
78,Skelhorn_2014,Skelhorn_2014_1,Skelhorn_2014_a,2014,UK,fig. 1,p.1419,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,latency to attack,,eyespot,eyespot,no pattern,"pastry caterpillars based loosely on the appearance of  the late instars of  Papilio canadensis and Papilio glaucus caterpillar; anterior eyespot. eyespots was produced by painting 2 yellow circles (E0.45cm diameter) dorsolaterally on the prey 0.4cm apart. A  black circle (E0.3cm diameter) was thenante painted inside each of  these; and finally, a small white spot of  pain (E0.1cm diameter) was added to the centre of  the black circles",2,4.5,1.504077397,15.90431281,2.766590318,31.80862562,3.459737499,1033.583943,6.940787598,artificial,abstract_caterpillar,omnivore,NA,chick,9,9,278.73652,192.06471,86.32512,60.32358,NA,NA,independent,predator,mean,278.73652,192.06471,SEM,28.77504,20.10786,NA,NA,NA,NA,0.372434616,0.021617881,1 1 SEM
79,Skelhorn_2014,Skelhorn_2014_2,Skelhorn_2014_a,2014,UK,fig. 1,p.1419,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,latency to attack,,eyespot,eyespot,no pattern,"pastry caterpillars based loosely on the appearance of  the late instars of  Papilio canadensis and Papilio glaucus caterpillar; centrally-placed eyespot. eyespots was produced by painting 2 yellow circles (E0.45cm diameter) dorsolaterally on the prey 0.4cm apart. A  black circle (E0.3cm diameter) was then painted inside each of  these; and finally, a small white spot of  pain (ﾅ0.1cm diameter) was added to the centre of  the black circles",2,4.5,1.504077397,15.90431281,2.766590318,31.80862562,3.459737499,1033.583943,6.940787598,artificial,abstract_caterpillar,omnivore,NA,chick,9,9,57.55008,192.06471,27.04161,60.32358,NA,NA,independent,predator,mean,57.55008,192.06471,SEM,9.01387,20.10786,NA,NA,NA,NA,-1.205176821,0.03549253,1 1 SEM
80,DeBona_2015,DeBona_2015_1,DeBona_2015_a,2015,Finland,fig. 3,p.4,Parus_major,great tit,Caligo_martia,owl butterfly,proportion2,proportion,Increase,propotion of aversion (startle and flee bird),,eyespot,eyespot,no pattern,projection onto computer monitor,2,9.206,2.219855445,66.56283678,4.198146415,133.1256736,4.891293596,3442.225,8.143873344,real,butterfly,omnivore,NA,NA,50,38,0.676415094,0.25754717,0.580361228,0.540840096,0.676,0.2603,independent,predator,mean,0.676415094,0.25754717,SE,0.082075472,0.087735849,NA,NA,NA,NA,0.589350981,0.043117448,
81,DeBona_2015,DeBona_2015_1,DeBona_2015_a,2015,Finland,fig. 3,p.4,Parus_major,great tit,Caligo_martia,owl butterfly,proportion2,proportion,Increase,propotion of aversion (startle and flee bird),,conspicuous,circle,no pattern,yellow; projection onto computer monitor,2,10.568,2.357830567,87.71532777,4.474096659,175.4306555,5.16724384,3438.441,8.14277345,real,butterfly,omnivore,NA,NA,46,38,0.336792453,0.25754717,0.518272383,0.540840096,0.337,0.26,independent,predator,mean,0.336792453,0.25754717,SE ,0.076415094,0.087735849,NA,NA,NA,NA,0.146293253,0.051967392,
82,Hossie_2015,Hossie_2015_1,Hossie_2015_a,2015,Canada,"text, fig. 3","p.6665, 6667",Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,latency of attack ,,eyespot,eyespot,no pattern,"pastry caterpillars based loosely on the appearance of the late instars of Papilio canadensis and Papilio glaucus caterpillar; eyespots were 2.2 mm in diameter, 2 mm apart, and 3.5 mm from the anterior tip, with a 1.5mm black pupil and a 0.5mm white sparkle. small prey were 25 mm long and 6 mm in diameter",2,2.2,0.78845736,3.801327111,1.335350245,7.602654222,2.028497426,549.778698,6.30951583,artificial,abstract_caterpillar,omnivore,female,chick,10,10,40.6,148.8,16.98143104,52.93652803,NA,NA,independent,predator,mean,40.6,148.8,SEM,5.37,16.74,NA,NA,NA,NA,-1.298835056,0.030150547,
83,Hossie_2015,Hossie_2015_2,Hossie_2015_a,2015,Canada,"text, fig. 3","p.6665, 6667",Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,latency of attack ,,eyespot,eyespot,no pattern,"pastry caterpillars based loosely on the appearance of the late instars of Papilio canadensis and Papilio glaucus caterpillar; eyespots were 4.5 mm in diameter, 4 mm apart, and 7 mm from the anterior tip of the prey. The eyespots had a 3-mm black pupil, with a 1-mm white sparkle. small prey were 25 mm long and 6 mm in diameter",2,4.5,1.504077397,15.90431281,2.766590318,31.80862562,3.459737499,1033.583943,6.940787598,artificial,abstract_caterpillar,omnivore,female,chick,10,10,17.2,148.8,11.13121736,52.93652803,NA,NA,independent,predator,mean,17.2,148.8,SEM,3.52,16.74,NA,NA,NA,NA,-2.157693739,0.054538348,
84,Hossie_2015,Hossie_2015_3,Hossie_2015_b,2015,Canada,"text, fig. 3","p.6665, 6667",Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,latency of attack ,,eyespot,eyespot,no pattern,"pastry caterpillars based loosely on the appearance of the late instars of Papilio canadensis and Papilio glaucus caterpillar; eyespots were 2.2 mm in diameter, 2 mm apart, and 3.5 mm from the anterior tip, with a 1.5mm black pupil and a 0.5mm white sparkle. large prey were 40 mm long and 7 mm in diameter.",2,2.2,0.78845736,3.801327111,1.335350245,7.602654222,2.028497426,549.778698,6.30951583,artificial,abstract_caterpillar,omnivore,female,chick,10,10,187,154.2,45.78978052,54.39117575,NA,NA,independent,predator,mean,187,154.2,SEM,14.48,17.2,NA,NA,NA,NA,0.192858156,0.018437835,
85,Hossie_2015,Hossie_2015_4,Hossie_2015_b,2015,Canada,"text, fig. 3","p.6665, 6667",Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,latency of attack ,,eyespot,eyespot,no pattern,"pastry caterpillars based loosely on the appearance of the late instars of Papilio canadensis and Papilio glaucus caterpillar; eyespots were 4.5 mm in diameter, 4 mm apart, and 7 mm from the anterior tip of the prey. The eyespots had a 3-mm black pupil, with a 1-mm white sparkle. large prey were 40 mm long and 7 mm in diameter. ",2,4.5,1.504077397,15.90431281,2.766590318,31.80862562,3.459737499,1033.583943,6.940787598,artificial,abstract_caterpillar,omnivore,female,chick,10,10,378.1,154.2,93.06583154,54.39117575,NA,NA,independent,predator,mean,378.1,154.2,SEM,29.43,17.2,NA,NA,NA,NA,0.89690825,0.01850047,
86,Hossie_2015,Hossie_2015_1,Hossie_2015_a,2015,Canada,"text, fig. 3","p.6666, 6667",Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,time between first inspections and attack ,,eyespot,eyespot,no pattern,"pastry caterpillars based loosely on the appearance of the late instars of Papilio canadensis and Papilio glaucus caterpillar; eyespots were 2.2 mm in diameter, 2 mm apart, and 3.5 mm from the anterior tip, with a 1.5mm black pupil and a 0.5mm white sparkle. small prey were 25 mm long and 6 mm in diameter",2,2.2,0.78845736,3.801327111,1.335350245,7.602654222,2.028497426,549.778698,6.30951583,artificial,abstract_caterpillar,omnivore,female,chick,10,10,2.5,2.7,5.533985905,4.74341649,NA,NA,independent,predator,mean,2.5,2.7,SEM,1.75,1.5,NA,NA,NA,NA,-0.076961041,0.798641975,
